Date_reported,ind_cum_cases,usa_cum_cases,brazil_cum_cases,russia_cum_cases,ind_new_cases,usa_new_cases,china_new_cases,russia_new_cases,brazil_new_cases
2020-08-14,2461190,5174793,3164785,912823,64553,374573,99,5065,55155
2020-08-15,2526192,5174793,3224876,917884,65002,0,70,5061,60091
2020-08-16,2589682,5174793,3275520,922853,63490,0,66,4969,50644
2020-08-17,2647663,5174793,3317096,927745,57981,0,98,4892,41576
2020-08-18,2702742,5174793,3340197,932493,55079,0,67,4748,23101
2020-08-19,2767273,5174793,3359570,937321,64531,0,54,4828,19373
2020-08-20,2836925,5174793,3407354,942106,69652,0,33,4785,47784
2020-08-21,2905823,5502742,3456652,946976,68898,327949,40,4870,49298
2020-08-22,2975701,5502742,3501975,951897,69878,0,50,4921,45323
2020-08-23,3044940,5502742,3532330,956749,69239,0,38,4852,30355
2020-08-24,3106348,5502742,3582362,961493,61408,0,41,4744,50032
2020-08-25,3167323,5502742,3605783,966189,60975,0,23,4696,23421
2020-08-26,3234474,5502742,3622861,970865,67151,0,34,4676,17078
2020-08-27,3310234,5502742,3669995,975576,75760,0,32,4711,47134
2020-08-28,3387500,5796639,3717156,980405,77266,293897,30,4829,47161
2020-08-29,3463972,5796639,3761391,985346,76472,0,22,4941,44235
2020-08-30,3542733,5796639,3804803,990326,78761,0,28,4980,43412
2020-08-31,3621245,5796639,3846153,995319,78512,0,32,4993,41350
2020-09-01,3691166,5796639,3862311,1000048,69921,0,19,4729,16158
2020-09-02,3769523,5796639,3908272,1005000,78357,0,20,4952,45961
2020-09-03,3853406,5796639,3950931,1009995,83883,0,20,4995,42659
2020-09-04,3936747,6083751,3997865,1015105,83341,287112,33,5110,46934
2020-09-05,4023179,6083751,4041638,1020310,86432,0,23,5205,43773
2020-09-06,4113811,6083751,4092832,1025505,90632,0,19,5195,51194
2020-09-07,4204613,6083751,4123000,1030690,90802,0,34,5185,30168
2020-09-08,4280422,6083751,4137521,1035789,75809,0,22,5099,14521
2020-09-09,4370128,6083751,4147794,1041007,89706,0,9,5218,10273
2020-09-10,4465863,6083751,4162073,1046370,95735,0,13,5363,14279
2020-09-11,4562414,6338150,4197889,1051874,96551,254399,28,5504,35816
2020-09-12,4659984,6338150,4238446,1057362,97570,0,20,5488,40557
2020-09-13,4754356,6338150,4282164,1062811,94372,0,23,5449,43718
2020-09-14,4846427,6338150,4315687,1068320,92071,0,29,5509,33523
2020-09-15,4930236,6338150,4330455,1073849,83809,0,23,5529,14768
2020-09-16,5020359,6338150,4345610,1079519,90123,0,16,5670,15155
2020-09-17,5118253,6338150,4382263,1085281,97894,0,19,5762,36653
2020-09-18,5214677,6608029,4419083,1091186,96424,269879,44,5905,36820
2020-09-19,5308014,6608029,4455386,1097251,93337,0,17,6065,36303
2020-09-20,5400619,6608029,4495183,1103399,92605,0,26,6148,39797
2020-09-21,5487580,6608029,4528240,1109595,86961,0,36,6196,33057
2020-09-22,5562663,6608029,4544629,1115810,75083,0,14,6215,16389
2020-09-23,5646010,6608029,4558068,1122241,83347,0,18,6431,13439
2020-09-24,5732518,6608029,4591604,1128836,86508,0,10,6595,33536
2020-09-25,5818570,6911901,4624885,1136048,86052,303872,15,7212,33281
2020-09-26,5903932,6911901,4657702,1143571,85362,0,18,7523,32817
2020-09-27,5992532,6911901,4689613,1151438,88600,0,15,7867,31911
2020-09-28,6074702,6911901,4717991,1159573,82170,0,27,8135,28378
2020-09-29,6145291,6911901,4732309,1167805,70589,0,25,8232,14318
2020-09-30,6225763,6911901,4745464,1176286,80472,0,23,8481,13155
2020-10-01,6312584,6911901,4777522,1185231,86821,0,20,8945,32058
2020-10-02,6394068,7204342,4810935,1194643,81484,292441,21,9412,33413
2020-10-03,6473544,7204342,4847092,1204502,79476,0,19,9859,36157
2020-10-04,6549373,7204342,4880523,1215001,75829,0,20,10499,33431
2020-10-05,6623815,7204342,4906833,1225889,74442,0,25,10888,26310
2020-10-06,6685082,7204342,4915289,1237504,61267,0,24,11615,8456
2020-10-07,6757131,7204342,4927235,1248619,72049,0,18,11115,11946
2020-10-08,6835655,7204342,4969141,1260112,78524,0,24,11493,41906
2020-10-09,6906151,7521056,5000694,1272238,70496,316714,40,12126,31553
2020-10-10,6979423,7521056,5028444,1285084,73272,0,26,12846,27750
2020-10-11,7053806,7521056,5055888,1298718,74383,0,27,13634,27444
2020-10-12,7120538,7521056,5082637,1312310,66732,0,28,13592,26749
2020-10-13,7175880,7521056,5094979,1326178,55342,0,26,13868,12342
